id,Markdown data to construct field,narrative,Active,Role,Religious practice or teaching,Figures,Monasteries,Figure name,Monastery name,Formula
11,"[""[Alchi](mon_2)|Pilgrim|nan|She visited the monastery on a pilgrim to Ladakh (and other regions in northern India and Western Tibet) as a young child, seeing the Vairocana murals."", ""[Sakya](mon_13)|Pilgrim|nan|She visited Sakya monastery while on a pilgrimage with her lama Pema Gyatso to Central Tibet, in 1886 or 1887""]","As a young child, Shukseb Jetsun Choying Zangmo visited the monastery on a pilgrim that took her to Ladakh and other regions in northern India and Western Tibet. She saw the Vairocana murals here.",False,Pilgrim,Chod?,tm.fig.11,tm.mon.2,Shukseb Jetsun Choying Zangmo,Alchi,"""[Shukseb Jetsun Choying Zangmo](tm.fig.11)|[Alchi](tm.mon.2)|Pilgrim|Chod?|As a young child, Shukseb Jetsun Choying Zangmo visited the monastery on a pilgrim that took her to Ladakh and other regions in northern India and Western Tibet. She saw the Vairocana murals here."""
12,"[""[Sangpu](mon_11)|Student|Prasangika Madhyamaka, Miktsema prayer|He learned Sakya and Kadampa teachings from the Sakya master Rendawa Zhonnu Lodro."", ""[Sera Me](mon_1)|Founder (of Sera Monastery)|Geluk scholasticism|It was founded by Tsongkhapa's disciple Shakya Yeshe, who had been sent to the Ming court of Yongle in Tsongkhapa's stead and received offerings to found this monastery"", ""[Ganden](mon_8)|founder and throne-holder|Uma Gongpa Rabsel (Elucidation of the Thought)|He founded this monastery in 1410, naming it after the Pure Land of Maitreya. He had temples and three dimensional mandalas constructed for the tantric deities Guhyasamaja, Vajrabhairava, and Cakrasamvara. He is usually considered the first Ganden Tripa (or Throne holder), a position that became an important leadership role in the Geluk tradition. After appointing Gyelstabje as his successor, he died at Ganden and his body was entombed  inside a jeweled stupa there.""]","Sera was founded by Tsongkhapa's disciple Shakya Yeshe. He had been sent to the Ming court of Yongle, responding to the emperor's invitation, in Tsongkhapa's place. and received offerings to found this monastery",False,Founder (of Sera Monastery),Geluk scholasticism,tm.fig.1,tm.mon.1,Tsongkhapa Lobzang Drakpa,Sera Me,"""[Tsongkhapa Lobzang Drakpa](tm.fig.1)|[Sera Me](tm.mon.1)|Founder (of Sera Monastery)|Geluk scholasticism|Sera was founded by Tsongkhapa's disciple Shakya Yeshe. He had been sent to the Ming court of Yongle, responding to the emperor's invitation, in Tsongkhapa's place. and received offerings to found this monastery"""
13,"[""[Sangpu](mon_11)|Student|Prasangika Madhyamaka, Miktsema prayer|He learned Sakya and Kadampa teachings from the Sakya master Rendawa Zhonnu Lodro."", ""[Sera Me](mon_1)|Founder (of Sera Monastery)|Geluk scholasticism|It was founded by Tsongkhapa's disciple Shakya Yeshe, who had been sent to the Ming court of Yongle in Tsongkhapa's stead and received offerings to found this monastery"", ""[Ganden](mon_8)|founder and throne-holder|Uma Gongpa Rabsel (Elucidation of the Thought)|He founded this monastery in 1410, naming it after the Pure Land of Maitreya. He had temples and three dimensional mandalas constructed for the tantric deities Guhyasamaja, Vajrabhairava, and Cakrasamvara. He is usually considered the first Ganden Tripa (or Throne holder), a position that became an important leadership role in the Geluk tradition. After appointing Gyelstabje as his successor, he died at Ganden and his body was entombed  inside a jeweled stupa there.""]","Tsongkhapa founded the monastery of Ganden in 1410, naming it after the Pure Land of Maitreya. He led the construction of temples and three dimensional mandalas for the tantric deities Guhyasamaja, Vajrabhairava, and Cakrasamvara. He is usually considered the first Ganden Tripa (or throne holder), a position that became one of the most important leadership roles in the Geluk tradition. After appointing Gyelstabje as his successor, Tsongkhapa died at Ganden and his body was entombed inside a jeweled stupa there.",False,founder and throne-holder,Uma Gongpa Rabsel (Elucidation of the Thought),tm.fig.1,tm.mon.8,Tsongkhapa Lobzang Drakpa,Ganden,"""[Tsongkhapa Lobzang Drakpa](tm.fig.1)|[Ganden](tm.mon.8)|founder and throne-holder|Uma Gongpa Rabsel (Elucidation of the Thought)|Tsongkhapa founded the monastery of Ganden in 1410, naming it after the Pure Land of Maitreya. He led the construction of temples and three dimensional mandalas for the tantric deities Guhyasamaja, Vajrabhairava, and Cakrasamvara. He is usually considered the first Ganden Tripa (or throne holder), a position that became one of the most important leadership roles in the Geluk tradition. After appointing Gyelstabje as his successor, Tsongkhapa died at Ganden and his body was entombed inside a jeweled stupa there."""
14,"[""[Chakpori](mon_14)|military advisor|none|Before Chakpori became the Geluk medical college, it was the site of a battle that the Tsang king, ally and patron of the Karmapa, lost to the Mongols allied with U forces. The Karmapa may or may not have been present with the army"", ""[Tsurphu](mon_12)|Student, throne holder|Kagyu teachings|The Karmapa entered Tsurphu, head monastery of the Karma Kagyu tradition, in 1615, shortly after the death of the Gyeltsab (the leader in between Karmapas). He was ordained and educated by the Third Pawo. His teachings included \""various Buddhist scriptures from the Kangyur and Tengyur, including the Avata\u1e41saka, Ratnak\u016b\u1e6da, Vinaya, Praj\u00f1\u0101p\u0101ramit\u0101, and various other sutras and tantras, as well as the life stories of saints, religious histories, poetics, and the collected writings of former Karmapas, Zhamars, and other masters\"". He returned to Tsurphu for ful ordination by Pawo, Zhamar and Situ lamas in 1624. After the Zhamar lama died he accompanied his remains back to Tsurphu and had a reliquary constructed. He took up residence  in Tsurphu again supervising the construction of the temple and going on retreat. He generally was resident in Tsurphu through the Tibetan Civil War although he left at times for pilgrimage. AFter the victory of Geluk forces, he went into exile, but was allowed to return to Tsurphu at the end of his life in 1674, and some surrounding estates were restored to him. He did not return alive, but his remains were installed int he monastery after his death""]","The Karmapa entered Tsurphu, head monastery of the Karma Kagyu tradition, in 1615, shortly after the death of the Gyeltsab (the leader of the Kagyu school when there is no adult Karmapa). He was ordained and educated by the Third Pawo. His curriculum included \""various Buddhist scriptures from the Kangyur and Tengyur, including the Avata\u1e41saka, Ratnak\u016b\u1e6da, Vinaya, Praj\u00f1\u0101p\u0101ramit\u0101, and various other sutras and tantras, as well as the life stories of saints, religious histories, poetics, and the collected writings of former Karmapas, Zhamars, and other masters\"". He returned to Tsurphu for full ordination by then Pawo, Zhamar and Situ lamas in 1624. After the Zhamar lama died, the Tenth Karmapa accompanied his remains back to Tsurphu and had a reliquary constructed. He took up residence  in Tsurphu again, supervising the construction of the temple and going on retreat. He generally resided in Tsurphu through the Tibetan Civil War, although he left at times for pilgrimage. After the victory of Geluk forces, he went into exile, but was allowed to return to Tsurphu at the end of his life in 1674, and some surrounding estates were restored to him. He did not return alive, but his remains were installed int he monastery after his death",False,"Student, throne holder",Kagyu teachings,tm.fig.2,tm.mon.12,"""Tenth Karmapa, Choying Dorje""",Tsurphu,"""[Tenth Karmapa, Choying Dorje](tm.fig.2)|[Tsurphu](tm.mon.12)|Student, throne holder|Kagyu teachings|The Karmapa entered Tsurphu, head monastery of the Karma Kagyu tradition, in 1615, shortly after the death of the Gyeltsab (the leader of the Kagyu school when there is no adult Karmapa). He was ordained and educated by the Third Pawo. His curriculum included \\""""various Buddhist scriptures from the Kangyur and Tengyur, including the Avata\\u1e41saka, Ratnak\\u016b\\u1e6da, Vinaya, Praj\\u00f1\\u0101p\\u0101ramit\\u0101, and various other sutras and tantras, as well as the life stories of saints, religious histories, poetics, and the collected writings of former Karmapas, Zhamars, and other masters\\"""". He returned to Tsurphu for full ordination by then Pawo, Zhamar and Situ lamas in 1624. After the Zhamar lama died, the Tenth Karmapa accompanied his remains back to Tsurphu and had a reliquary constructed. He took up residence  in Tsurphu again, supervising the construction of the temple and going on retreat. He generally resided in Tsurphu through the Tibetan Civil War, although he left at times for pilgrimage. After the victory of Geluk forces, he went into exile, but was allowed to return to Tsurphu at the end of his life in 1674, and some surrounding estates were restored to him. He did not return alive, but his remains were installed int he monastery after his death"""
15,"[""[Dzogchen](mon_7)|Student, hermit|Guhyagarbha Tantra|He studied with Dzogchen Khenpo Pema Vajra, and spent the end of his life in a hermit near Dzogchen monastery  at Ju."", ""[Ganden](mon_8)|Visitor|Geluk philosophy and debate|He stayed for a month during a pilgrimage to Lhasa in 1861. He learned about Geluk scholarship and educational practices, as well as their tradition of debate. He would later introduce debate into Nyingma studies"", ""[Shechen](mon_15)|Student|nan|Mipham's initial monastery when he ordained as a novice was Shechen's branch monastery Jumohor Sangnga Choling. He also taught the Fifth Rabjam lama of Shechen. One of Mipham's reincarnations was also recognized at Shcehn.""]","Mipham stayed at Dzogchen monastery for a month during a pilgrimage to Lhasa in 1861. He learned about Geluk scholarship and educational practices, as well as their tradition of debate. He would later introduce debate into the Nyingma curriculum.",False,Visitor,Geluk philosophy and debate,tm.fig.3,tm.mon.8,Mipham,Ganden,"""[Mipham](tm.fig.3)|[Ganden](tm.mon.8)|Visitor|Geluk philosophy and debate|Mipham stayed at Dzogchen monastery for a month during a pilgrimage to Lhasa in 1861. He learned about Geluk scholarship and educational practices, as well as their tradition of debate. He would later introduce debate into the Nyingma curriculum."""
16,"[""[Dzogchen](mon_7)|Student, hermit|Guhyagarbha Tantra|He studied with Dzogchen Khenpo Pema Vajra, and spent the end of his life in a hermit near Dzogchen monastery  at Ju."", ""[Ganden](mon_8)|Visitor|Geluk philosophy and debate|He stayed for a month during a pilgrimage to Lhasa in 1861. He learned about Geluk scholarship and educational practices, as well as their tradition of debate. He would later introduce debate into Nyingma studies"", ""[Shechen](mon_15)|Student|nan|Mipham's initial monastery when he ordained as a novice was Shechen's branch monastery Jumohor Sangnga Choling. He also taught the Fifth Rabjam lama of Shechen. One of Mipham's reincarnations was also recognized at Shcehn.""]",Mipham's initial monastery when he ordained as a novice was Shechen's branch monastery Jumohor Sangnga Choling. Mipham later taught the Fifth Rabjam lama who resided at Shechen. One of Mipham's reincarnations was also recognized at Shechen.,False,Student,?,tm.fig.3,tm.mon.15,Mipham,Shechen,[Mipham](tm.fig.3)|[Shechen](tm.mon.15)|Student|?|Mipham's initial monastery when he ordained as a novice was Shechen's branch monastery Jumohor Sangnga Choling. Mipham later taught the Fifth Rabjam lama who resided at Shechen. One of Mipham's reincarnations was also recognized at Shechen.
17,"[""[Sangpu](mon_11)|Student|Kadampa tradition|Sakya Pandita studied under Shuton Dorje Kyab"", ""[Sakya](mon_13)|Throne holder|Sakya teachings, the Five Sciences, Indo-Tibetan philosophy|He inherited this head monastery of the Sakya tradition by being part of the Khon family. He studied under his uncle Drakpa Gyelsten, his predecessor throne holder, and others. He was especially interested in Indian Sanskritic and philosophical learning. He introduced the five major and five minor sciences into Tibetan learning, and wrote influential philosophical treatises defending Sakya views against Kagyu and Nyingma views. He wrote works such as the Treasury of Epistemology, the Clear Differentiation of the Three Vows, Clarifying the Sage's Intentions, the Treasury of Aphoristic Jewels, and Entrance Gate for the Wise. He also began forming ties with the Mongol rulers, which would eventually elevate the Sakya into the temporal rulers of Tibet as vassals of the Yuan dynasty.""]","Sakya Pandita inherited this head monastery of the Sakya tradition by being part of the Khon family. He studied under his uncle Drakpa Gyelsten, his predecessor as throne holder, as well as others. He was especially interested in Indian Sanskritic and philosophical learning. Sakya Pandita introduced the five major and five minor sciences into Tibetan learning, and he wrote influential philosophical treatises defending Sakya views against Kagyu and Nyingma views. He wrote works such as the Treasury of Epistemology, the Clear Differentiation of the Three Vows, Clarifying the Sage's Intentions, the Treasury of Aphoristic Jewels, and Entrance Gate for the Wise. He also began forming ties with the Mongol rulers. They would eventually elevate the Sakya into the temporal rulers of Tibet as vassals of the Yuan dynasty.",False,Throne holder,"Sakya teachings, the Five Sciences, Indo-Tibetan philosophy",tm.fig.4,tm.mon.13,Sakya Pandita,Sakya,"""[Sakya Pandita](tm.fig.4)|[Sakya](tm.mon.13)|Throne holder|Sakya teachings, the Five Sciences, Indo-Tibetan philosophy|Sakya Pandita inherited this head monastery of the Sakya tradition by being part of the Khon family. He studied under his uncle Drakpa Gyelsten, his predecessor as throne holder, as well as others. He was especially interested in Indian Sanskritic and philosophical learning. Sakya Pandita introduced the five major and five minor sciences into Tibetan learning, and he wrote influential philosophical treatises defending Sakya views against Kagyu and Nyingma views. He wrote works such as the Treasury of Epistemology, the Clear Differentiation of the Three Vows, Clarifying the Sage's Intentions, the Treasury of Aphoristic Jewels, and Entrance Gate for the Wise. He also began forming ties with the Mongol rulers. They would eventually elevate the Sakya into the temporal rulers of Tibet as vassals of the Yuan dynasty."""
18,"[""[Ganden](mon_8)|Throne holder|Geluk teachings|He became the third throne holder of Ganden Monastery in 1431, succeeding Tsongkhapa and Gyeltsabje. He taught and granted initiations until his death in 1438"", ""[Changra](mon_16)|Abbot|Geluk sutra and tantra teachings|After meeting initially with Tsongkhapa in 1407, Khedrupje assumed the abbacy of this Kadampa monastery (located within his home region of Tsang), and converted it to Geluk in 1413"", ""[Sera Me](mon_1)|Student|Geluk sutra and tantra teachings|He took teachings from Tsongkhapa at a retreat near Sera Monastery in 1407""]","After meeting initially with Tsongkhapa in 1407, Khedrupje assumed the abbacy of the Kadampa monastery of Changra (located within his home region of Tsang), and converted it to Geluk in 1413",False,Abbot,Geluk sutra and tantra teachings,tm.fig.5,tm.mon.16,Khedrupje,Changra,"""[Khedrupje](tm.fig.5)|[Changra](tm.mon.16)|Abbot|Geluk sutra and tantra teachings|After meeting initially with Tsongkhapa in 1407, Khedrupje assumed the abbacy of the Kadampa monastery of Changra (located within his home region of Tsang), and converted it to Geluk in 1413"""
19,"[""[Ganden](mon_8)|Throne holder|Geluk teachings|He became the third throne holder of Ganden Monastery in 1431, succeeding Tsongkhapa and Gyeltsabje. He taught and granted initiations until his death in 1438"", ""[Changra](mon_16)|Abbot|Geluk sutra and tantra teachings|After meeting initially with Tsongkhapa in 1407, Khedrupje assumed the abbacy of this Kadampa monastery (located within his home region of Tsang), and converted it to Geluk in 1413"", ""[Sera Me](mon_1)|Student|Geluk sutra and tantra teachings|He took teachings from Tsongkhapa at a retreat near Sera Monastery in 1407""]",Khedrupje took teachings from Tsongkhapa at a retreat near Sera Monastery in 1407,False,Student,Geluk sutra and tantra teachings,tm.fig.5,tm.mon.1,Khedrupje,Sera Me,[Khedrupje](tm.fig.5)|[Sera Me](tm.mon.1)|Student|Geluk sutra and tantra teachings|Khedrupje took teachings from Tsongkhapa at a retreat near Sera Monastery in 1407
20,"[""[Pelpung](mon_17)|Student|Five Treatises, Rime|He was sent by the local chieftain Tsepel to the monastery in 1833. He did a second ordination encouraged by Wongen Tulku, under the Tai Situ Lama. (this was done for sectarian reasons, as Nyingma and Karma Kagyu had different). He received the ordination name Yonten Gyatso, and later recognized as the Kongtrul tulku. He was patronized by local noble families and performed rituals for them.\nIn 1840 he was visited by Jamyang Kyenste Wangpo, another important lama of the Rime tradition. He also gave tantric vows to the famous Nyingma terton Chokgyur Lingpa in 1853. He edited the Five Treatises, on tantric, doctrinal and meditative teachings. During the Nyarong war, he negotiated for the warring armies to spare Pelpung monastery, he subsequently got into political trouble with lamas and ended up in exile from 1874 to 1886, before returnings."", ""[Shechen](mon_15)|Student|Nyingma teachings|He was sent to Shechen (a Nyingma monastery) after a lama noticed his great learning in Bon. There he studied under Shechen Wontrul Gyurme Tutob Namgyel was ordained in 1832. Later on he taught Shechen lamas and a Shechen lama was recognized as one of his incarnations."", ""[Tsadra Rinchen Drak](mon_18)|Founder, hermit/retreatant|Five Treasureies, Jamgon Kongtrul's retreat manual|IN 1843 Jamgon Kongtrul founded this hermitage near Pelpung, repairing buildings and doing an initial personal retreat. In 1857 he consecrated it as one of the 25 Great Places of Kham and then began a regular series of three-year retreats starting in 1861, using his own retreat manual""]",Jamgön Kongtrul was sent to Shechen (a Nyingma monastery) after a lama noticed his great learning as a young monk of the Bon tradition. There he studied under Shechen Wontrul Gyurme Tutob Namgyel was ordained in 1832. Later on he taught Shechen lamas and a Shechen lama was recognized as one of his incarnations.,False,Student,Nyingma Teachings,tm.fig.6,tm.mon.15,Jamgön Kongtrul Lodrö Thayé,Shechen,[Jamgön Kongtrul Lodrö Thayé](tm.fig.6)|[Shechen](tm.mon.15)|Student|Nyingma Teachings|Jamgön Kongtrul was sent to Shechen (a Nyingma monastery) after a lama noticed his great learning as a young monk of the Bon tradition. There he studied under Shechen Wontrul Gyurme Tutob Namgyel was ordained in 1832. Later on he taught Shechen lamas and a Shechen lama was recognized as one of his incarnations.
21,"[""[Pelpung](mon_17)|Student|Five Treatises, Rime|He was sent by the local chieftain Tsepel to the monastery in 1833. He did a second ordination encouraged by Wongen Tulku, under the Tai Situ Lama. (this was done for sectarian reasons, as Nyingma and Karma Kagyu had different). He received the ordination name Yonten Gyatso, and later recognized as the Kongtrul tulku. He was patronized by local noble families and performed rituals for them.\nIn 1840 he was visited by Jamyang Kyenste Wangpo, another important lama of the Rime tradition. He also gave tantric vows to the famous Nyingma terton Chokgyur Lingpa in 1853. He edited the Five Treatises, on tantric, doctrinal and meditative teachings. During the Nyarong war, he negotiated for the warring armies to spare Pelpung monastery, he subsequently got into political trouble with lamas and ended up in exile from 1874 to 1886, before returnings."", ""[Shechen](mon_15)|Student|Nyingma teachings|He was sent to Shechen (a Nyingma monastery) after a lama noticed his great learning in Bon. There he studied under Shechen Wontrul Gyurme Tutob Namgyel was ordained in 1832. Later on he taught Shechen lamas and a Shechen lama was recognized as one of his incarnations."", ""[Tsadra Rinchen Drak](mon_18)|Founder, hermit/retreatant|Five Treasureies, Jamgon Kongtrul's retreat manual|IN 1843 Jamgon Kongtrul founded this hermitage near Pelpung, repairing buildings and doing an initial personal retreat. In 1857 he consecrated it as one of the 25 Great Places of Kham and then began a regular series of three-year retreats starting in 1861, using his own retreat manual""]","In 1843 Jamgön Kongtrul founded this hermitage near Pelpung. He repaired buildings and did an initial personal retreat. In 1857 he consecrated it as one of the 25 Great Places of Kham and then began a regular series of three-year retreats starting in 1861, based on his own retreat manual.",False,"Founder, hermit/retreatant","Five Treasuries, Jamgon Kongtrul's retreat manual",tm.fig.6,tm.mon.18,Jamgön Kongtrul Lodrö Thayé,Tsadra Rinchen Drak,"""[Jamgön Kongtrul Lodrö Thayé](tm.fig.6)|[Tsadra Rinchen Drak](tm.mon.18)|Founder, hermit/retreatant|Five Treasuries, Jamgon Kongtrul's retreat manual|In 1843 Jamgön Kongtrul founded this hermitage near Pelpung. He repaired buildings and did an initial personal retreat. In 1857 he consecrated it as one of the 25 Great Places of Kham and then began a regular series of three-year retreats starting in 1861, based on his own retreat manual."""
22,"[""[Tsering Jong](mon_21)|preacher, founder of hermitage, abbot|Longchen Nyingtik|He founded the hermitage Chonggye (later using it for his own retreats) and transmitted the Longchen Nyingtik. It served as his personal seat until his death in 1798"", ""[Samye](mon_20)|Retreatant, patron|Yonten Dzod|He went on a three year retreat 1759-1762 in the Chimpu caves (specifically Upper and Lower Nyang), during which he had visions of the Nyingma master Longchenpa and is believed to have received blessings and terma teachings. He also sponsored a project to restore the monastery, and in 1788 held an audience with the royal family of"", ""[Pelri Osel Tekchenling](mon_19)|Student, retreatant|Mahamudra, Yeshe Tongdrol, Longchen Nyingtik|He was enrolled in this Nyingma monastery at the age of six, although he was not said to be a good student initially. He studied under Tukchok Dorje and received transmissions such as Mahamudra and the Yeshe Tongdrol of Tennyi Lingpa. He went on a retreat from 1757 to 1760, in which he is said to have received a \""mind treasure\"" of the Longchen Nyingtik treasure.""]","Jigme Lingpa went on a three year retreat 1759-1762 in the Chimpu caves (specifically Upper and Lower Nyang), during which he had visions of the Nyingma master Longchenpa and is believed to have received blessings and terma teachings. He also sponsored a project to restore the monastery, and in 1788 held an audience with the royal family of Dege.",False,"Retreatant, patron",Yonten Dzod,tm.fig.7,tm.mon.20,Jigme Lingpa,Samye,"""[Jigme Lingpa](tm.fig.7)|[Samye](tm.mon.20)|Retreatant, patron|Yonten Dzod|Jigme Lingpa went on a three year retreat 1759-1762 in the Chimpu caves (specifically Upper and Lower Nyang), during which he had visions of the Nyingma master Longchenpa and is believed to have received blessings and terma teachings. He also sponsored a project to restore the monastery, and in 1788 held an audience with the royal family of Dege."""
23,"[""[Tsering Jong](mon_21)|preacher, founder of hermitage, abbot|Longchen Nyingtik|He founded the hermitage Chonggye (later using it for his own retreats) and transmitted the Longchen Nyingtik. It served as his personal seat until his death in 1798"", ""[Samye](mon_20)|Retreatant, patron|Yonten Dzod|He went on a three year retreat 1759-1762 in the Chimpu caves (specifically Upper and Lower Nyang), during which he had visions of the Nyingma master Longchenpa and is believed to have received blessings and terma teachings. He also sponsored a project to restore the monastery, and in 1788 held an audience with the royal family of"", ""[Pelri Osel Tekchenling](mon_19)|Student, retreatant|Mahamudra, Yeshe Tongdrol, Longchen Nyingtik|He was enrolled in this Nyingma monastery at the age of six, although he was not said to be a good student initially. He studied under Tukchok Dorje and received transmissions such as Mahamudra and the Yeshe Tongdrol of Tennyi Lingpa. He went on a retreat from 1757 to 1760, in which he is said to have received a \""mind treasure\"" of the Longchen Nyingtik treasure.""]","Jigme Lingpa was enrolled in this Nyingma monastery at the age of six, although he was not said to be a good student initially. He studied under Tukchok Dorje and received transmissions such as Mahamudra and the Yeshe Tongdrol of Tennyi Lingpa. He went on a retreat from 1757 to 1760, in which he is said to have received a ""mind treasure"" of the Longchen Nyingtik treasure.",False,"Student, retreatant","Mahamudra, Yeshe Tongdrol, Longchen Nyingtik",tm.fig.7,tm.mon.19,Jigme Lingpa,Pelri Osel Tekchenling,"""[Jigme Lingpa](tm.fig.7)|[Pelri Osel Tekchenling](tm.mon.19)|Student, retreatant|Mahamudra, Yeshe Tongdrol, Longchen Nyingtik|Jigme Lingpa was enrolled in this Nyingma monastery at the age of six, although he was not said to be a good student initially. He studied under Tukchok Dorje and received transmissions such as Mahamudra and the Yeshe Tongdrol of Tennyi Lingpa. He went on a retreat from 1757 to 1760, in which he is said to have received a """"mind treasure"""" of the Longchen Nyingtik treasure."""
24,"[""[Tanak Serling](mon_24)|Founder|Madhayamaka works and other teachings|He founded the monastery in 1466 and was based there for several years afterward, writing various works and receiving patronage from the Rinpungpa rulers. He returned there at the end of his life."", ""[Nalendra](mon_22)|Student|Sakya teachings|He went to Nalendra at age nineteen and took teachings from Rongton Sheja Kunrik"", ""[Ngor](mon_23)|Student|Lamdre, Madhyamaka philosophy|He took tantric teachings from Ngorchen Kunga Zangpo, and other teachings from Muchen Konchok Zangpo and Gungru Sherab Zangpo (who taught philosophy)""]",Gorampa went to Nalendra at age nineteen and took teachings from Rongton Sheja Kunrik.,False,Student,Sakya teachings,tm.fig.8,tm.mon.22,Gorampa,Nalendra,[Gorampa](tm.fig.8)|[Nalendra](tm.mon.22)|Student|Sakya teachings|Gorampa went to Nalendra at age nineteen and took teachings from Rongton Sheja Kunrik.
25,"[""[Tanak Serling](mon_24)|Founder|Madhayamaka works and other teachings|He founded the monastery in 1466 and was based there for several years afterward, writing various works and receiving patronage from the Rinpungpa rulers. He returned there at the end of his life."", ""[Nalendra](mon_22)|Student|Sakya teachings|He went to Nalendra at age nineteen and took teachings from Rongton Sheja Kunrik"", ""[Ngor](mon_23)|Student|Lamdre, Madhyamaka philosophy|He took tantric teachings from Ngorchen Kunga Zangpo, and other teachings from Muchen Konchok Zangpo and Gungru Sherab Zangpo (who taught philosophy)""]",Gorampa took tantric teachings from Ngorchen Kunga Zangpo and other teachings from Muchen Konchok Zangpo and Gungru Sherab Zangpo (who taught philosophy).,False,Student,"Lamdre, Madhyamaka philosophy",tm.fig.8,tm.mon.23,Gorampa,Ngor,"""[Gorampa](tm.fig.8)|[Ngor](tm.mon.23)|Student|Lamdre, Madhyamaka philosophy|Gorampa took tantric teachings from Ngorchen Kunga Zangpo and other teachings from Muchen Konchok Zangpo and Gungru Sherab Zangpo (who taught philosophy)."""
26,"[""[Chone](mon_26)|Student|none|Chone is where Ngawang Tsultrim was initially ordained as a novice and where he underwent the first stages of the monastic curriculum."", ""[Sera Me](mon_1)|Resident lama, patron, student|the Geluk curriculum|Sera Me was Ngawang Ts\u00fcltrim's home monastery, where he enrolled in 1745 and eventually attained a Geshe Lharampa degree. He entered because his local monastery of Chone had strong ties to Sera Me. he was especially devoted to patronizing Sera Me when he served as regent, sponsoring statues and housing for monks and funding for rituals (or simply coming for a visit). He was posthumously recognized as the Tshemonling lama and Sera Me became the home of this incarnation's labrang (estate). His biography was written by abbots of Sera Me"", ""[Yonghe Gong](mon_25)|Disciplinarian, preacher, imperial preceptor|Tsongkhapa's Lamrim, Guhyasamaja, Vajrabhairava, Chakrasamvara|From 1763 to 1777 he served as chief disciplinarian and preacher under the imperial preceptor Changkya Rolpe Dorje and the Qianlong emperor. In addition to teaching the monks he performed long life ceremonies for the emperor. During his own appointment as imperial preceptor or \""lama of the seal\"", he continued his role as preacher and tantric master, and also worked on a Manchu version of the Kangyur. The temple was the site of audiences between Ngawang Ts\u00fcltrim and the emperor which were opportunities for religious teaching and diplomacy between Tibet and the imperial throne.""]","Sera Me was Ngawang Tsültrim's home monastery, where he enrolled in 1745 and eventually attained a Geshe Lharampa degree. His local monastery of Choné had strong ties to Sera Me. Ngawang Tsültrim was especially devoted to patronizing Sera Me when he served as regent, sponsoring statues and housing for monks and funding for rituals (or simply coming for a visit). He was posthumously recognized as the Tshemönling lama and Sera Me became the home of this incarnation's labrang (estate). His biography was written by abbots of Sera Me.",False,"Resident lama, patron, student",the Geluk curriculum,tm.fig.9,tm.mon.1,Ngawang Tsültrim,Sera Me,"""[Ngawang Tsültrim](tm.fig.9)|[Sera Me](tm.mon.1)|Resident lama, patron, student|the Geluk curriculum|Sera Me was Ngawang Tsültrim's home monastery, where he enrolled in 1745 and eventually attained a Geshe Lharampa degree. His local monastery of Choné had strong ties to Sera Me. Ngawang Tsültrim was especially devoted to patronizing Sera Me when he served as regent, sponsoring statues and housing for monks and funding for rituals (or simply coming for a visit). He was posthumously recognized as the Tshemönling lama and Sera Me became the home of this incarnation's labrang (estate). His biography was written by abbots of Sera Me."""
